idkunden;Nachname;Vorname;Geburtsdatum;Stadt
18273;Uribe;Pauli;1965-04-07;Leonberg
18274;Uribe;Pauli;1965-04-07;Leonberg
18275;Pavlovic;Achim;1956-09-22;Sremska Mitrovica
18276;Nießen;Gerhard Johann;1957-08-20;Köln
18277;Panagiotopoulos;Oleg;1963-01-05;Volos
18278;scgopp;Pauli;1965-04-07;Esslingen
18279;Wyzujak;Nazario;1971-07-30;Gostyn
18280;Ghulam Ismail;Walter Jürgen;1962-08-28;Diala
18281;Schilling;Siegfried;1950-01-27;Schalkau
18282;Petersen;Klaus-Uwe;1959-07-02;Neumünster
18283;Burgio;Karl-Heinz;1941-12-06;Palermo
18284;Griesse;Ralf Joachim;1964-03-09;Siegen
18285;Haji Mokhtar;Evgeny;1942-11-09;Shayr Ray
18286;Helfrich;Adel ben Salem;1978-04-27;Griesbach im Rottall
18287;Perzollaj;Norbert Peter;1944-09-23;Pect
18288;Reithoffer;Lars;1971-05-31;Wien
18289;Henseler;Friedhelm Egon;1959-01-20;Ulm
18290;Bippus;Peter;1952-08-26;Würzburg
18291;Maierböck;Wladimir;1950-09-25;Ulm
18292;Scharf;Jürgen;1965-01-21;?
18293;Kiesel;Imre;1966-11-02;Gelsenkirchen
18294;Atalay;Michael;1973-06-11;Schüttorf
18295;Brunnenkant;Gerhard;1947-05-16;St. Georgen / Schwarzwald
18296;Reichstein;Harald Hans;1952-10-21;Leipzig
18297;Walek;Vasilij;1970-08-30;Rudolfstadt
18298;Nierzwicki;Peter;1952-04-30;Dinslaken
18299;Wahibi;Johann Jakob;1965-12-13;Basra
18300;Nguyen;Manfred;1957-10-17;Vung Tau
18301;Schmitz;Sebastian;1983-01-04;Tapiau (bei Königsberg)
18302;Cujovic;Josef;1931-07-19;Laupheim
18303;Krenzel;Paul-Hermann-Josef;1956-12-22;Varel
18304;Moore;Erich;1961-11-26;Louisiana
18305;Rothfritz;Alexander;1974-06-28;Stuttgart - Bad Cannstatt
18306;Zienert;Petro;1974-09-27;Stuttgart
18307;Huang;Günther;1957-07-18;Fujiang
18308;Ünlü;Clifford;1949-04-27;Stuttgart
18309;Vojtek;Thorsten Ralf;1966-09-25;Brüntal
18310;Nurkiewicz;Heiko;1965-07-16;Dzierzoniow
18311;Meves;Fabian;1973-12-16;Berlin-Wilmersdorf
18312;Maranic;Volker Josef;1945-04-14;Calw
18313;Marwinski;Ayhan;1976-04-15;Geldern
18314;Bauer;Lutz Matthias;1963-07-25;Stuttgart
18315;Pfleiderer;Celebi;1953-01-01;?
18316;Galosi;Albert Karl;1966-08-20;Pereked
18317;Kokeny;Armin;1963-08-15;Rimavska sobota
18318;Schippers;Horst-Werner;1937-12-28;Stuttgart
18319;Baumgart;Ralf;1970-09-24;Heidenheim
18320;Wantola;Niels;1972-06-14;Oppeln
18321;Tanyeri;Helmut;1957-07-17;Nazirivaz
18322;Wolschina;Herbert;1953-01-28;Blankenburg  (Harz )
18323;Hoffmann;Pavel;1953-06-06;Mühlhausen
18324;Sauer;Markus;1975-12-13;Rothenburg ob der Tauber
18325;Krenkel;Pavol;1962-04-13;Rochlitz
18326;Boho;Hans-Joachim;1954-08-16;Lucenec
18327;Coban;Peter Karl Eugen;1941-01-05;Kahramanmoras
18328;Ueltzhoeffer;Robert;1963-09-05;Biberach
18329;Emmel;Benjamin;1982-09-27;?
18330;Krause;Klaus Martin;1963-12-01;Lawalde
18331;Krakau;Jörg;1956-04-15;?
18332;Kraft;Lars;1987-04-02;Berlin
18333;Bernards;Christian;1984-07-31;Düren
18334;Lakatos;Bernd;1953-01-02;Özd
18335;Müller;Bernd;1961-03-17;Bergen Rügen
18336;Vampo;Kemal;1968-09-03;San Vito
